Algo	Type	runs	id	iterations	Found	time											
AVM	Break 	13	3	1	 true 	0.822											
AVM	Break 	14	3	1	 true 	0.507											
AVM	Break 	15	3	1	 true 	0.809											
AVM	Break 	16	3	1	 true 	0.683											
AVM	Break 	17	3	1	 true 	0.975											
AVM	Break 	18	3	1	 true 	0.614											
AVM	Break 	19	3	1	 true 	0.667											
AVM	Break 	20	3	1	 true 	1.189											
AVM	Break 	21	3	1	 true 	1.169											
AVM	Break 	22	3	1	 true 	1.270											
AVM	Break 	23	3	1	 true 	1.011											
AVM	Break 	24	3	1	 true 	1.218											
AVM	Break 	25	3	1	 true 	0.820											
AVM	Break 	26	3	1	 true 	0.535											
AVM	Break 	27	3	1	 true 	0.817											
AVM	Break 	28	3	1	 true 	1.032											
AVM	Break 	29	3	1	 true 	0.988											
AVM	Break 	30	3	1	 true 	0.694											
AVM	Break 	31	3	1	 true 	1.290											
AVM	Break 	32	3	1	 true 	0.951											
AVM	Break 	33	3	1	 true 	1.071											
AVM	Break 	34	3	1	 true 	0.672											
AVM	Break 	35	3	1	 true 	0.670											
AVM	Break 	36	3	1	 true 	0.677											
AVM	Break 	37	3	1	 true 	0.631											
AVM	Break 	38	3	1	 true 	1.133											
AVM	Break 	39	3	1	 true 	0.977											
AVM	Break 	40	3	1	 true 	1.224											
AVM	Break 	41	3	1	 true 	0.971											
AVM	Break 	42	3	1	 true 	1.086											
AVM	Break 	43	3	1	 true 	1.289											
AVM	Break 	44	3	1	 true 	1.196											
AVM	Break 	45	3	1	 true 	0.629											
AVM	Break 	46	3	1	 true 	0.989											
AVM	Break 	47	3	1	 true 	1.293											
AVM	Break 	48	3	1	 true 	1.284											
AVM	Break 	49	3	1	 true 	0.797											
AVM	Break 	50	3	1	 true 	0.699											
AVM	Break 	51	3	1	 true 	0.686											
AVM	Break 	52	3	1	 true 	1.243											
AVM	Break 	53	3	1	 true 	1.244											
AVM	Break 	54	3	1	 true 	1.049											
AVM	Break 	55	3	1	 true 	0.978											
AVM	Break 	56	3	1	 true 	0.796											
AVM	Break 	57	3	1	 true 	0.588											
AVM	Break 	58	3	1	 true 	1.202											
AVM	Break 	59	3	1	 true 	1.017											
AVM	Break 	60	3	1	 true 	0.725											
AVM	Break 	61	3	1	 true 	1.080											
AVM	Break 	62	3	1	 true 	0.747											
AVM	Break 	63	3	1	 true 	0.643											
AVM	Break 	64	3	1	 true 	1.006											
AVM	Break 	65	3	1	 true 	1.190											
AVM	Break 	66	3	1	 true 	0.861											
AVM	Break 	67	3	1	 true 	0.563											
AVM	Break 	68	3	1	 true 	0.776											
AVM	Break 	69	3	1	 true 	1.191											
AVM	Break 	70	3	1	 true 	0.815											
AVM	Break 	71	3	1	 true 	0.753											
AVM	Break 	72	3	1	 true 	0.749											
AVM	Break 	73	3	1	 true 	1.052											
AVM	Break 	74	3	1	 true 	0.617											
AVM	Break 	75	3	1	 true 	0.614											
AVM	Break 	76	3	1	 true 	1.152											
AVM	Break 	77	3	1	 true 	0.702											
AVM	Break 	78	3	1	 true 	1.105											
AVM	Break 	79	3	1	 true 	1.107											
AVM	Break 	80	3	1	 true 	1.066											
AVM	Break 	81	3	1	 true 	0.991											
AVM	Break 	82	3	1	 true 	1.074											
AVM	Break 	83	3	1	 true 	0.725											
AVM	Break 	84	3	1	 true 	0.891											
AVM	Break 	85	3	1	 true 	0.798											
AVM	Break 	86	3	1	 true 	1.120											
AVM	Break 	87	3	1	 true 	0.862											
