Algo	Type	runs	id	iterations	Found	time
AVM	Break 	63	2	32	 true 	82.030
AVM	Break 	64	2	24	 true 	80.207
AVM	Break 	65	2	23	 true 	81.618
AVM	Break 	66	2	26	 true 	82.634
AVM	Break 	67	2	23	 true 	79.546
AVM	Break 	68	2	27	 true 	81.681
AVM	Break 	69	2	23	 true 	80.099
AVM	Break 	70	2	32	 true 	83.091
AVM	Break 	71	2	30	 true 	82.229
AVM	Break 	72	2	26	 true 	80.086
AVM	Break 	73	2	22	 true 	81.523
AVM	Break 	74	2	28	 true 	79.879
AVM	Break 	75	2	32	 true 	80.243
AVM	Break 	76	2	24	 true 	83.057
AVM	Break 	77	2	32	 true 	83.454
AVM	Break 	78	2	24	 true 	81.482
AVM	Break 	79	2	32	 true 	81.477
AVM	Break 	80	2	29	 true 	79.443
AVM	Break 	81	2	22	 true 	81.444
AVM	Break 	82	2	32	 true 	82.922
AVM	Break 	83	2	26	 true 	80.167
AVM	Break 	84	2	32	 true 	83.217
AVM	Break 	85	2	32	 true 	82.375
AVM	Break 	86	2	24	 true 	82.516
AVM	Break 	87	2	30	 true 	79.150
AVM	Break 	88	2	29	 true 	81.457
AVM	Break 	89	2	26	 true 	78.725
AVM	Break 	90	2	23	 true 	78.710
AVM	Break 	91	2	26	 true 	82.062
AVM	Break 	92	2	22	 true 	80.039
AVM	Break 	93	2	28	 true 	78.928
AVM	Break 	94	2	29	 true 	79.315
AVM	Break 	95	2	30	 true 	81.394
AVM	Break 	96	2	28	 true 	80.599
AVM	Break 	97	2	25	 true 	80.509
AVM	Break 	98	2	27	 true 	82.061
AVM	Break 	99	2	23	 true 	79.492
AVM	Break 	0	3	25	 true 	81.013
AVM	Break 	1	3	31	 true 	79.278
AVM	Break 	2	3	26	 true 	78.602
AVM	Break 	3	3	31	 true 	78.674
AVM	Break 	4	3	24	 true 	77.649
AVM	Break 	5	3	23	 true 	79.867
AVM	Break 	6	3	30	 true 	77.800
AVM	Break 	7	3	24	 true 	77.186
AVM	Break 	8	3	29	 true 	79.424
AVM	Break 	9	3	32	 true 	80.492
AVM	Break 	10	3	30	 true 	78.564
